@relation 'Clasfication2Weka-weka.filters.unsupervised.attribute.StringToWordVector-Rfirst-last-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.attribute.NominalToString-C2-weka.filters.unsupervised.attribute.NumericToBinary-R5-last-weka.filters.unsupervised.attribute.NumericToNominal-R53'

@attribute Id numeric
@attribute Description string
@attribute 'Initiative status' {'In progress',Pilot,Live,Research}
@attribute TherapeuticArea {Breast,Lung,Ophtha,Liver,'Alzheimers Disease',Haemophilia}
@attribute Prevention_binarized {0,1}
@attribute Unwellness_binarized {0,1}
@attribute Prediagnosis_binarized {0,1}
@attribute Treatment_binarized {0,1}
@attribute 'Maintain life_binarized' {0,1}
@attribute End_of_life_support_binarized {0,1}
@attribute Be_up_to_date_HCP_binarized {0,1}
@attribute 'Manage_and_treat_ my_patient_HCP_binarized' {0,1}
@attribute Advance_medical_science_HCP_binarized {0,1}
@attribute Manage_my_business_HCP_binarized {0,1}
@attribute Digital_Health_Solution_Dig_cat_binarized {0,1}
@attribute Information_Dig_Cat_binarized {0,1}
@attribute Service_Dig_Cat_binarized {0,1}
@attribute Arabic_binarized {0,1}
@attribute Bosnian_binarized {0,1}
@attribute Bulgarian_binarized {0,1}
@attribute Chinese_binarized {0,1}
@attribute Croatian_binarized {0,1}
@attribute Czech_binarized {0,1}
@attribute Danish_binarized {0,1}
@attribute Dutch_binarized {0,1}
@attribute English_binarized {0,1}
@attribute Estonian_binarized {0,1}
@attribute Finnish_binarized {0,1}
@attribute French_binarized {0,1}
@attribute German_binarized {0,1}
@attribute Greek_binarized {0,1}
@attribute Hebrew_binarized {0,1}
@attribute Hungarian_binarized {0,1}
@attribute Indonesian_binarized {0,1}
@attribute Italian_binarized {0,1}
@attribute Korean_binarized {0,1}
@attribute Latvian_binarized {0,1}
@attribute Lithuanian_binarized {0,1}
@attribute Macedonian_binarized {0,1}
@attribute 'Multiple Languages_binarized' {0,1}
@attribute Norwegian_binarized {0,1}
@attribute Polish_binarized {0,1}
@attribute Portuguese_binarized {0,1}
@attribute Romanian_binarized {0,1}
@attribute Russian_binarized {0,1}
@attribute Serbian_binarized {0,1}
@attribute Slovakian_binarized {0,1}
@attribute Spanish_binarized {0,1}
@attribute Swedish_binarized {0,1}
@attribute Thai_binarized {0,1}
@attribute Turkish_binarized {0,1}
@attribute Vietnamese_binarized {0,1}
@attribute GlobalRollout {0,1}

@data
10,'ForPatients is an informational resource for patients their relatives caregivers or doctors looking for information in clear and simple language about clinical trials or diseases where RocheGenentech is doing research or supporting research conducted by others',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11,'A website to for information related to breast cancer diagnosis treatment options and more',Live,Breast,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,'Website for disease information available in Switzerland It provides overview and information about the diseases how to diagnose and treatment Putting the person at the center not the disease',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,'A website for patients to seek information about breast cancer patients stories patients right',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,'A wesbite that is only active during the October  Breast Cancer Awareness Month for patients',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,'A website for patients and HCPs to seek information about Herceptin HYLECTA',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,'Website to access the Patient Support Programs in Indonesia It can be accessed only via registration of the patient',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,'Diagnostics and Disease awareness and education Website on Guidance on How to do a breast selfexam in three easy steps every 30 days',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,'A website for patients to seek information about breast cancer the stages types of breast cancer and their quality of life',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,'A comprehensive website for patients to seek information related to HER2+ Breast Cancer and PHESGO',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,'Collaboration with 7mind to provide Meditation support to Roche patients in Germany as part of a Patient Support Program',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,'Website on information about cancer in Germany Supported with Youtube channel Facebook page and Instagram account',Live,Breast,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,'By the Hand is a sitehelp for people with cancer their loved ones and everyone who is at risk of developing cancer Here you will find answers to questions regarding cancer in general as well as specific types of cancer By the Hand is not only a great reference book with useful information but also a collection of videos with personal stories of cancer patients They inspire and motivate people to fight disease',Live,Breast,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,'It is a space in which we share accurate and relevant information to accompany patients relatives and their environment in their needs and concerns related to different pathologies We are passionate about improving the lives of patients above all things and we want our work to contribute significantly to the management diagnosis and treatment of diseases And thus help improve peoples health and quality of life',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,'HERConnection is a free support program designed specifically for people with HER2+ breast cancer taking Genentech medicines providing information and resources that can help educate and empower you throughout your treatment journey',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,'BeraniCariTahu is a means of communication and educational forum aimed at women who have not dared to learn more about the problem of breast cancer so that they are more willing to open up to seek information In addition this initiative is expected to inspire especially for patients survivors and patient companions to have the courage to actively ask doctors and take control in the course of breast cancer that is being experienced',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,'Creation of an application corresponding to a traveling companion for the patient The Wikiboop application allows you to Personalize their journey and access multiple validated information all at their own pace > Answer their daily questions to better cope with the disease > Access spaces that answer their legal and social questions > Find associations near them > In progress with wellbeing spaces  Like relaxing with the Zen Cabine or even testing wigs and scarves with the Hair Cabine > Find all the information the patient needs when she needs it in one tool',Live,Breast,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,'A website to increase awareness about early detection From December 610 we ask communities healthcare providers employers and insurers to join us in helping everyone understand the benefits of early cancer screening Here youll find easytouse resources to help raise awareness and learn more about which screening tests may be right for you and those you love',Live,Breast,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,'An interactive website to help patients consult information on how a preexisting condition and its respective medication interact with COVID19',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,'Supportive care covers above all the supportive treatment that you as a cancer patient or as a relative may need both during and after a cancer course whatever it is help from a physiotherapist conversations with a psychologist or financial and legal guidance And fortunately there is a lot of information and help to be found However this means that exactly the information help and guidance you need as a cancer patient or relative must usually be found across many different websites Instead of you having to search many places with this website we have gathered relevant and important information from many different websites in one place The purpose is to help you get an easy and quick overview of general recommendations what options are available and where you can contact or read more for further help and information',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,'A website where you can find out about cancer prevention and treatment To access the network of doctors be prepared to offer you support and recommendations Find out the stories of other people who won the battle Read all the information necessary for you to feel in CONTROL',Live,Breast,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,'APMP Patient Associations together for the right to Personalized Medicine in oncology Website bringing together 11 Patient Associations that carry out synergistic work so that the right to personalized medicine is recognized by the institutions On this website patients and nonpatients can find introductory articles to PHC in Oncology and some high level information about various types of cancers and detections solutions',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,'Awareness website about Breast Cancer Screening in Italy',Live,Breast,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,'Information on various types of cancer',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,'Website on information and awareness about Cervical Cancer',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,'TECENTRIQ is an app for you who have triplenegative breast cancer and who are treated with TECENTRIQ  atezolizumab The TECENTRIQ app contains information about prescription drugs To activate the app you will need a personal code provided by your nurse or doctor In the app you will find relevant information about triplenegative breast cancer examinations and the treatment itself The app cannot replace medical advice Talk to your nurse or doctor if you have any questions about your illness or treatment',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,'Website to access Roche Medicines or Diagnostics products via a Patient Support Program',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,'Dialogue on Diagnostics is a public awareness initiative by Roche Pakistan Limited Diagnostics division to spark conversations around various diseases amplify the true value of diagnostics and enable the best way to ensure equitable access to diagnostics across Pakistan','In progress',Breast,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,'ROCHE Pilot the MojeMedicinacz website in 2009 and since then it has quickly grown into a multimedia portal The portal offers an extensive archive which currently contains  more than 2000 articles  over 1000 videos  over 340 presentations  professional articles and presentations  videos from congresses  invitations to congresses and educational events  information on medicinal products  case reports and clinical studies  advice for patients etc',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,'Information portal on oncology',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,'Information about managing your life and you disease my disease my care my rights my daily life my work Website supported by FB page and Twitter page',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,'Chane Rose is a testimonial mutual aid and sharing site initiated by Roche It invites women with or having been affected by cancer of any kind but also those around them their families and healthcare professionals to share their experiences and experiences Chane Rose also allows women to meet help each other and get information all over France to alleviate the ordeal of cancer',Live,Breast,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,'Genentech Access Solutions is your resource for access and reimbursement support after a Genentech medicine is prescribed',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,'Kasvajanet is intended as a source of knowledge and support for cancer patients and their relatives It is the first information portal of its kind for cancer patients in Estonia which is constantly updated by specialists in their field On this page you will find information to help you understand the nature of cancer and its possible causes',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,'A website for patients and HCPs to seek information about Herceptin',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,'A website for patients and HCPs to seek information about Kadcyla',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,'Website with information about diseases testimonials link to clinical trials and list of associations',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,'Website on information and awareness about Breast Cancer',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,'My Breast Canceris an app especially for you who have HER2 positive breast cancer at an early stage and who are being treated with Herceptin trastuzumab It has been developed by Roche a  s in collaboration with nurses and doctors ‚My Breast Cancercontains information on prescription medication To activate the app you must therefore use a personal code which is provided by your nurse In ‚My breast cancerwe have gathered relevant information about breast cancer examinations treatment physical and mental reactions sexuality diet etc in one place in the Knowledge Bank At the same time you get two tools that can help you in everyday life Appointments that help you keep track of and be prepared for your various conversations examinations treatments etc The diary where you can record how you are feeling and see the development over time',Live,Breast,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,'Website about Tecentriq  for patients',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,'Rosie is a media for women interested in their own health Rosie talks directly about fertility treatments pregnancy menopause and other issues related to a womans health Rosie can be trusted as it obtains its information from Finnish doctors and experts  and wants you to take care of yourself',Live,Breast,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,'A Genentech website to get better understanding on the available treatment options for a specific diagnosis  including the type of breast cancer likelihood of it coming back  can help empower people to make informed treatment decisiosn with their care',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,'A Genentech website to get better understanding on the HER2 Positive Breast Cancer the Her2journey and inside story of the breast cancer breakthrough',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,'A patient education website by Genentech on triple negative breast cancer',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,'To embed clinical trials into the flow of everyday patient care to enable a wider reach faster ACTIVATE focuses on 4 main pillars  1 Patient Discovery Allowing patients and investigators to easily find clinical trials and Roche to find patients 2 Patient Convenience Reducing patient burden and increasing participation 3 Trial Navigation Ensuring coordinated care is delivered to the patient throughout the journey 4 Patient Engagement Encouraging patients to stay invested in their clinical trials',Pilot,Breast,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,'In an effort to make our trials more patient centric and accelerate our clinical development programs RocheGenentech is partnering with Greenphire The goal is to implement a technology in all possible trials that would enable realtime and automated payments to patients in order to cover their out of live expenses httpsgreenphirecom',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,'The Patient Journey platform is a cloudbased digital solution designed to improve engagement among trial participants and investigators through a convenient and seamless user experience with more direct data collection and sharing The platform will support core functions common to clinical trials while its modular structure enables new features and extended functionality','In progress',Breast,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,'Learn more about the field the research and Genentechs commitment to help people living with breast cancer',Live,Breast,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,'FocusMe is a universal patient community app designed to improve digital care for people with breast cancer By allowing users to customize their profile the mobile app enables oncology patients to connect with other patients and their care team support and empower each other in a targeted needsbased way Designed for the medical care team the Focus Me web application enables the sharing of indepth expertise in a quick and effective manner',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,'It is a personalized mobile application that empowers and support you and your caregivers throughout your whole journey for the best possible outcomes Information connection support access There is also an associated Website to the app httpsher2morrowcomhk',Live,Breast,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,'A LINE Chatbot for patients to easily access information related to the diseases insurance calculator FAQs treatment calendar PSP programs and more',Live,Breast,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,'A LINE Chatbot for you to easily enrol to Taiwan patient support programs and to monitor your treatment and schedule as well as improve your wellbeing and experience',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,'A website that provides a variety of educational material such as an overview causes symptoms risk factors preparation and visit to the doctor diagnosis staging treatment prevention and complications around the following types of cancer',Live,Breast,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
